scene_id,veh_id,num_total_vehs,veh_int_paths,tot_int_paths,goal_rate,off_road,veh_veh_collision,Agent,Train agent,Dataset,Eval mode,Reg. weight
tfrecord-00045-of-01000_264.json,21,3,0.0,0.0,0.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00045-of-01000_264.json,22,3,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00045-of-01000_264.json,23,3,0.0,0.0,0.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,27,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,5,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,33,20,0.0,0.0,0.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,32,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,7,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,30,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,15,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,12,20,0.0,0.0,0.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,19,20,0.0,0.0,0.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,13,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,35,20,0.0,0.0,0.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,21,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,31,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,26,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,37,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,6,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,34,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,0,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,16,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,2,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,23,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,8,20,0.0,0.0,0.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,11,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,22,20,0.0,0.0,0.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,10,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,4,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,1,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,28,20,0.0,0.0,0.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,9,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,14,20,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_427.json,29,20,0.0,0.0,1.0,0.0,1.0,PPO,Self-play,Train,Self-play,0.0
